author_id,created_at,text,tokens,filtered_tokens,stemmed_text,term,cluster
hyedyoon,2025-04-11T00:05:36.000Z,#KaburAjaDulu,"#, KaburAjaDulu","#, KaburAjaDulu",kaburajadulu,kaburajadulu,1
phsyco_n,2025-04-10T23:51:02.000Z,Aakk pgn cpt2 lulus trs #KaburAjaDulu ditengah2 chaos nya negara ini,"Aakk, pgn, cpt2, lulus, trs, #, KaburAjaDulu, ditengah2, chaos, nya, negara, ini","Aakk, pgn, cpt2, lulus, trs, #, KaburAjaDulu, ditengah2, chaos, nya, negara",aakk pgn cpt2 lulus trs kaburajadulu ditengah2 chaos nya negara ini,"aakk,pgn,cpt2,lulus,trs,kaburajadulu,ditengah2,chaos,nya,negara,ini",1
dina_ramay,2025-04-10T23:50:25.000Z,Nggak semua lari itu pengecut. Kadang kita butuh #KaburAjaDulu demi waras. ,"Nggak, semua, lari, itu, pengecut, ., Kadang, kita, butuh, #, KaburAjaDulu, demi, waras, .","Nggak, lari, pengecut, ., Kadang, butuh, #, KaburAjaDulu, waras, .",nggak semua lari itu kecut kadang kita butuh kaburajadulu demi waras,"nggak,semua,lari,itu,kecut,kadang,kita,butuh,kaburajadulu,demi,waras",1
GloriaC01107579,2025-04-10T23:36:44.000Z,https://indianapolisstar-in.newsmemory.com/?publink=162564c09_134f94e… kaburajadulu,"https, :, //indianapolisstar-in.newsmemory.com/, ?, publink=162564c09_134f94e…, kaburajadulu","https, :, //indianapolisstar-in.newsmemory.com/, ?, publink=162564c09_134f94e…, kaburajadulu",https indianapolisstar-in newsmemory com publink 162564c09 134f94e kaburajadulu,"https,indianapolisstar-in,newsmemory,com,publink,162564c09,134f94e,kaburajadulu",1
Kralicefaran,2025-04-10T23:24:38.000Z,"Bayaran lumayan itu kalau di indo keknya emang dari pemerintah? Tools peta+ pinter analisis. Belum nyari² untuk *kaburajadulu/ global.   Terkadang, mau belajar/ sharing konten data beginian bingung juga. Karna kebanyakan data private dapur gov/perusahaan semua ","Bayaran, lumayan, itu, kalau, di, indo, keknya, emang, dari, pemerintah, ?, Tools, peta+, pinter, analisis, ., Belum, nyari², untuk, *, kaburajadulu/, global, ., Terkadang, ,, mau, belajar/, sharing, konten, data, beginian, bingung, juga, ., Karna, kebanyakan, data, private, dapur, gov/perusahaan, semua","Bayaran, lumayan, indo, keknya, emang, pemerintah, ?, Tools, peta+, pinter, analisis, ., nyari², *, kaburajadulu/, global, ., Terkadang, ,, belajar/, sharing, konten, data, bingung, ., Karna, kebanyakan, data, private, dapur, gov/perusahaan",bayar lumayan itu kalau di indo kek emang dari perintah tools peta pinter analisis belum nyari untuk kaburajadulu global terkadang mau ajar sharing konten data begini bingung juga karna banyak data private dapur gov usaha semua,"bayar,lumayan,itu,kalau,di,indo,kek,emang,dari,perintah,tools,peta,pinter,analisis,belum,nyari,untuk,kaburajadulu,global,terkadang,mau,ajar,sharing,konten,data,begini,bingung,juga,karna,banyak,data,private,dapur,gov,usaha,semua",0
JokoKusnandi92,2025-04-10T23:20:21.000Z,Selamat pagi dunia Semoga hari ini tetap masih semangat Tarif impor ekspor sedang panas akibay tariff reciprocal donal Trump  #KaburAjaDulu #TariffWar #ReciprocalTariffs,"Selamat, pagi, dunia, Semoga, hari, ini, tetap, masih, semangat, Tarif, impor, ekspor, sedang, panas, akibay, tariff, reciprocal, donal, Trump, #, KaburAjaDulu, #, TariffWar, #, ReciprocalTariffs","Selamat, pagi, dunia, Semoga, semangat, Tarif, impor, ekspor, panas, akibay, tariff, reciprocal, donal, Trump, #, KaburAjaDulu, #, TariffWar, #, ReciprocalTariffs",selamat pagi dunia moga hari ini tetap masih semangat tarif impor ekspor sedang panas akibay tariff reciprocal donal trump kaburajadulu tariffwar reciprocaltariffs,"selamat,pagi,dunia,moga,hari,ini,tetap,masih,semangat,tarif,impor,ekspor,sedang,panas,akibay,tariff,reciprocal,donal,trump,kaburajadulu,tariffwar,reciprocaltariffs",1
saturngvrl,2025-04-10T23:09:54.000Z,wkkw aduh malu lagi aku kalo keinget   HAYUKKK!! semoga betulan bisa ya kita # kaburajadulu ,"wkkw, aduh, malu, lagi, aku, kalo, keinget, HAYUKKK, !, !, semoga, betulan, bisa, ya, kita, #, kaburajadulu","wkkw, aduh, malu, kalo, keinget, HAYUKKK, !, !, semoga, betulan, ya, #, kaburajadulu",wkkw aduh malu lagi aku kalo keinget hayukkk moga betul bisa ya kita kaburajadulu,"wkkw,aduh,malu,lagi,aku,kalo,keinget,hayukkk,moga,betul,bisa,ya,kita,kaburajadulu",1
saturngvrl,2025-04-10T22:55:16.000Z,happy birthday gabgabbb!!  doanya kayak yang kemarin ya (+ semoga ada kesempatan buat ikut tagar kaburajadulu) ,"happy, birthday, gabgabbb, !, !, doanya, kayak, yang, kemarin, ya, (, +, semoga, ada, kesempatan, buat, ikut, tagar, kaburajadulu, )","happy, birthday, gabgabbb, !, !, doanya, kayak, kemarin, ya, (, +, semoga, kesempatan, tagar, kaburajadulu, )",happy birthday gabgabbb doa kayak yang kemarin ya moga ada sempat buat ikut tagar kaburajadulu,"happy,birthday,gabgabbb,doa,kayak,yang,kemarin,ya,moga,ada,sempat,buat,ikut,tagar,kaburajadulu",0
roy1alien,2025-04-10T22:43:59.000Z,Mimpi #KaburAjaDulu keluar negeri,"Mimpi, #, KaburAjaDulu, keluar, negeri","Mimpi, #, KaburAjaDulu, negeri",mimpi kaburajadulu keluar negeri,"mimpi,kaburajadulu,keluar,negeri",1
AngelChai60087,2025-04-10T22:41:15.000Z,Gila... modal kecil hasil gede? Essebet emang gak main-main!  #KaburAjaDulu #KimSooHyun #danakaget #No12 #Kerasa #Dafa #KingIndo #Gaza #Adil #Gempa #Onana #indomaret #quizserumaya,"Gila, ..., modal, kecil, hasil, gede, ?, Essebet, emang, gak, main-main, !, #, KaburAjaDulu, #, KimSooHyun, #, danakaget, #, No12, #, Kerasa, #, Dafa, #, KingIndo, #, Gaza, #, Adil, #, Gempa, #, Onana, #, indomaret, #, quizserumaya","Gila, ..., modal, hasil, gede, ?, Essebet, emang, gak, main-main, !, #, KaburAjaDulu, #, KimSooHyun, #, danakaget, #, No12, #, Kerasa, #, Dafa, #, KingIndo, #, Gaza, #, Adil, #, Gempa, #, Onana, #, indomaret, #, quizserumaya",gila modal kecil hasil gede essebet emang gak main kaburajadulu kimsoohyun danakaget no12 rasa dafa kingindo gaza adil gempa onana indomaret quizserumaya,"gila,modal,kecil,hasil,gede,essebet,emang,gak,main,kaburajadulu,kimsoohyun,danakaget,no12,rasa,dafa,kingindo,gaza,adil,gempa,onana,indomaret,quizserumaya",0
